### Footprint positions - created on 2024-07-08T22:43:48-0500 ###
### Printed by KiCad version 8.0.2-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                     Package                                                PosX       PosY       Rot  Side
J2        HDR100IMP40F-G-V-TH     PinSocket_1x20_P2.54mm_Vertical                    144.4600  -112.8700    0.0000  top
J3        Conn_1x02               PinSocket_1x02_P2.54mm_Vertical                    139.3750  -112.8750    0.0000  top
L1        Core_64c_Logo_7mm_tall  Core64c_Logo_7mm                                   110.1206  -165.0908    0.0000  top
L3        Core_64_Logo            Machine_Ideas_logo                                 163.5550  -166.0380    0.0000  top
L4        MI_LOGO                 Machine_Ideas_logo_1                                 5.0581    -4.0010    0.0000  top
Q1        MMBT4403LT1G            SOT-23-3                                           130.7750  -142.5000    0.0000  top
Q2        MMBT4401LT1G            SOT-23-3                                           126.7250  -142.5000    0.0000  top
Q3        MMBT4403LT1G            SOT-23-3                                           130.7750  -138.5750    0.0000  top
Q4        MMBT4401LT1G            SOT-23-3                                           126.7250  -138.5500    0.0000  top
Q5        MMBT4403LT1G            SOT-23-3                                           130.7750  -134.6250    0.0000  top
Q6        MMBT4401LT1G            SOT-23-3                                           126.7250  -134.6000    0.0000  top
Q7        MMBT4403LT1G            SOT-23-3                                           130.7750  -130.6750    0.0000  top
Q8        MMBT4401LT1G            SOT-23-3                                           126.7250  -130.6500    0.0000  top
Q9        MMBT4403LT1G            SOT-23-3                                           130.7750  -126.7250    0.0000  top
Q10       MMBT4401LT1G            SOT-23-3                                           126.7250  -126.7000    0.0000  top
Q11       MMBT4403LT1G            SOT-23-3                                           130.7750  -122.7750    0.0000  top
Q12       MMBT4401LT1G            SOT-23-3                                           126.7250  -122.7500    0.0000  top
Q13       MMBT4403LT1G            SOT-23-3                                            81.8000  -123.3250  180.0000  top
Q14       MMBT4401LT1G            SOT-23-3                                            87.0000  -123.3250  180.0000  top
Q15       MMBT4403LT1G            SOT-23-3                                            81.8000  -127.3000  180.0000  top
Q16       MMBT4401LT1G            SOT-23-3                                            87.0000  -127.3000  180.0000  top
Q17       MMBT4403LT1G            SOT-23-3                                            81.8000  -131.2750  180.0000  top
Q18       MMBT4401LT1G            SOT-23-3                                            87.0000  -131.2750  180.0000  top
Q19       MMBT4403LT1G            SOT-23-3                                            81.8000  -135.2500  180.0000  top
Q20       MMBT4401LT1G            SOT-23-3                                            87.0000  -135.2500  180.0000  top
Q21       Q_NMOS_DGS_AO3400A      SOT-23-3                                            89.6500  -141.1000   90.0000  top
Q22       SL3401A                 SOT-23-3                                           133.3000  -105.2500    0.0000  top
Q23       SL3401A                 SOT-23-3                                           122.9000  -101.0000  -90.0000  top
R1        470                     R_0805_2012Metric                                  122.9750  -141.5000  180.0000  top
R2        470                     R_0805_2012Metric                                  122.9500  -143.5000  180.0000  top
R3        470                     R_0805_2012Metric                                  122.9750  -137.4750  180.0000  top
R4        470                     R_0805_2012Metric                                  122.9750  -139.4750  180.0000  top
R5        470                     R_0805_2012Metric                                  122.9500  -133.5150  180.0000  top
R6        470                     R_0805_2012Metric                                  122.9500  -135.5150  180.0000  top
R7        470                     R_0805_2012Metric                                  122.9500  -129.5500  180.0000  top
R8        470                     R_0805_2012Metric                                  122.9500  -131.5000  180.0000  top
R9        470                     R_0805_2012Metric                                  122.9500  -125.7150  180.0000  top
R10       470                     R_0805_2012Metric                                  122.9500  -127.6500  180.0000  top
R11       470                     R_0805_2012Metric                                  122.9500  -121.9000  180.0000  top
R12       470                     R_0805_2012Metric                                  122.9500  -123.8000  180.0000  top
R13       470                     R_0805_2012Metric                                   92.0000  -122.5350    0.0000  top
R14       470                     R_0805_2012Metric                                   92.0000  -124.4586    0.0000  top
R15       470                     R_0805_2012Metric                                   92.0000  -126.3821    0.0000  top
R16       470                     R_0805_2012Metric                                   92.0000  -128.3057    0.0000  top
R17       470                     R_0805_2012Metric                                   92.0000  -130.2293    0.0000  top
R18       470                     R_0805_2012Metric                                   92.0000  -132.1529    0.0000  top
R19       470                     R_0805_2012Metric                                   92.0000  -134.0764    0.0000  top
R20       470                     R_0805_2012Metric                                   92.0000  -136.0000    0.0000  top
R21       8R2-1%                  R_0805_2012Metric                                  134.4500  -134.6250    0.0000  top
R22       8R2-1%                  R_0805_2012Metric                                  134.4500  -130.6500  180.0000  top
R23       8R2-1%                  R_0805_2012Metric                                  134.4500  -126.7250  180.0000  top
R24       8R2-1%                  R_0805_2012Metric                                  134.4500  -122.7500  180.0000  top
R25       8R2-1%                  R_0805_2012Metric                                   78.0000  -133.9000    0.0000  top
R26       8R2-1%                  R_0805_2012Metric                                   78.0000  -135.9000    0.0000  top
R27       4K7                     R_0805_2012Metric                                   89.6500  -144.5000  180.0000  top
R28       470                     R_0805_2012Metric                                   92.8500  -144.8000   90.0000  top
R29       4K7                     R_0805_2012Metric                                  139.6040  -168.4140  180.0000  top
R30       1K2                     R_0805_2012Metric                                   78.3550  -172.7750   90.0000  top
R31       1K2                     R_0805_2012Metric                                   80.3550  -172.7750   90.0000  top
R32       68                      R_0805_2012Metric                                   93.9950  -138.5750  180.0000  top
R33       68                      R_0805_2012Metric                                   82.5950  -138.2900    0.0000  top
R34       4K7                     R_0805_2012Metric                                  130.2550  -171.6050  180.0000  top
